GFA_sqm,Building_Type,Num_Floors,Year_Built,Structure_Type,Actual_Scope3_tCO2e,Intensity_kgCO2e_m2
17907,Office,26,2013,Steel,12185.082257410917,680.4647488362606
17282,Office,9,2005,Steel,10244.014409309624,592.756301892699
11478,Residential,30,2022,Timber,3694.7782283972024,321.90087370597684
30721,Office,36,1980,Mixed,17090.569310517298,556.3155271806678
23195,Office,15,2001,Concrete,12465.381539692748,537.4167510106811
3125,Education,24,1981,Steel,1910.480445551582,611.3537425765063
47391,Education,7,1982,Timber,10890.970680421553,229.81094892324606
39638,Education,18,2017,Timber,10482.144119611028,264.44684695522045
9152,Healthcare,37,2007,Concrete,7063.040258776634,771.7482800236706
30926,Office,22,2005,Concrete,16001.525533127922,517.4133587637562
4596,Office,20,2004,Mixed,2008.2653440084518,436.95938729513745
27734,Office,36,2001,Concrete,17674.19942448755,637.2755255097552
16728,Healthcare,19,2021,Steel,12526.541486609063,748.836769883373
49447,Healthcare,34,1985,Steel,46427.862460513745,938.9419471457064
28285,Office,21,1985,Concrete,14900.574992556498,526.8013078506805
12613,Healthcare,11,2009,Timber,3240.7698008150373,256.9388567997334
14046,Office,3,2010,Mixed,5328.746011129109,379.3781867527488
39110,Healthcare,6,1981,Mixed,19508.682164460453,498.81570351471373
23350,Healthcare,6,2009,Mixed,11122.261695678006,476.328124011906
39328,Residential,2,1994,Timber,7579.342586355945,192.7212821998562
23700,Education,5,1985,Concrete,10860.513800764154,458.2495274584032
46587,Education,12,1980,Concrete,25031.824450639193,537.3135091471696
2828,Residential,11,2015,Steel,1722.0917127459622,608.943321338742
46745,Office,10,1984,Timber,10856.545465695872,232.25041107489295
6287,Residential,2,1999,Steel,3266.4006312705583,519.5483746255063
20216,Office,9,1990,Timber,4522.74229024785,223.72092848475714
37258,Education,30,2010,Steel,27910.036518741035,749.1018444023038
1235,Healthcare,14,1990,Steel,864.6287726298634,700.1042693359218
6415,Education,22,2008,Mixed,3144.4441527944123,490.1705616203293
31523,Office,30,2014,Steel,20682.136215793173,656.0966981503402
24930,Education,14,2005,Concrete,12597.586972796687,505.31837034884427
18449,Office,25,1997,Mixed,8679.057475809768,470.43511712340876
29173,Healthcare,32,2017,Steel,26086.28183951906,894.1926383820332
10184,Education,25,1996,Steel,6725.005264389433,660.3500848772028
19381,Residential,39,1985,Concrete,12082.75955433331,623.4332363827104
25519,Education,15,2008,Steel,16056.111700767971,629.1826364970403
1922,Education,36,2008,Concrete,1271.9849683860418,661.8027931248918
33154,Office,33,1983,Concrete,21262.650911591136,641.3298821135047
47714,Office,10,2012,Concrete,25389.847103512046,532.1257304672014
30486,Education,36,2003,Mixed,15825.662236042477,519.112452799399
21103,Office,5,2008,Timber,4247.340925183442,201.26716226050522
21609,Office,27,2010,Timber,7070.870011998843,327.21875200142733
34561,Healthcare,27,1984,Mixed,18833.601327559543,544.9379742356859
44879,Residential,38,1985,Mixed,23864.339187565434,531.7484611414121
11541,Residential,12,2005,Steel,6531.884879585819,565.9721756854535
18368,Residential,33,2019,Mixed,9635.396892310788,524.5751792416587
38219,Healthcare,4,1984,Mixed,15350.447602795231,401.64440730514224
28632,Education,28,2010,Concrete,15436.44865878914,539.1327416453319
40964,Education,14,2019,Steel,27559.370581776435,672.7704956004403
35560,Education,37,2000,Concrete,24111.104426160215,678.0400569786337
20256,Residential,1,2019,Timber,3671.6653544749547,181.26310004319484
10524,Office,9,1989,Mixed,4396.247362317674,417.7354012084449
14224,Residential,35,2004,Concrete,9636.50328598189,677.4819520515952
9070,Residential,18,2006,Concrete,5307.701510361542,585.1931102934445
46994,Healthcare,24,2004,Timber,15786.081564423137,335.91695885481414
23359,Office,33,2008,Timber,7700.37645481609,329.65351491142985
11395,Residential,21,1986,Steel,8151.985411050942,715.4002115884987
38011,Office,22,2007,Timber,12118.617856841147,318.818706607065
21806,Office,1,2011,Steel,11853.791989649191,543.6023108157934
25442,Education,19,2011,Concrete,13008.111991814627,511.28496155233967
43460,Office,30,1995,Mixed,22110.073364001288,508.7453604234075
39258,Office,2,2007,Steel,21548.145499310478,548.8854628180366
26522,Residential,4,1980,Mixed,10523.190589798518,396.7721359550003
49770,Education,32,1989,Concrete,32772.873602595675,658.4865099979039
48190,Residential,28,2011,Concrete,30518.980656804724,633.3052636813597
46368,Healthcare,3,2003,Timber,11223.123104006696,242.04458040042047
9519,Office,37,1982,Timber,3580.5762846468665,376.15046587318693
14575,Education,34,2014,Mixed,8319.81508768806,570.8277933233661
48917,Healthcare,16,1983,Mixed,26089.705168564633,533.3463860940907
22389,Office,31,1997,Timber,7700.1845565352605,343.92713191903437
3198,Office,21,1998,Mixed,1362.3819774489625,426.01062459317154
32419,Healthcare,18,1981,Steel,26478.520754380577,816.7593310830247
20978,Healthcare,2,1982,Timber,4337.428101280963,206.76080185341613
15596,Healthcare,37,2017,Mixed,10116.857853701666,648.6828580213943
8083,Residential,35,2001,Mixed,3938.133653970625,487.2118834554775
49285,Residential,23,2011,Steel,32674.74864272564,662.975522830996
3573,Office,9,2019,Concrete,1815.8498502644436,508.2143437627886
24752,Education,22,2022,Concrete,15203.991350998725,614.2530442387979
12372,Residential,34,2002,Steel,8049.820240835316,650.6482574228352
27665,Residential,36,2020,Concrete,15920.214337272184,575.4641003893795
32896,Office,38,1991,Timber,11213.813029067152,340.8868260295219
41760,Residential,31,1985,Timber,14262.15406682435,341.5266778454107
47828,Healthcare,7,1989,Steel,35845.66156881878,749.4702176302328
25027,Office,2,2022,Steel,12845.69465336216,513.2734508076142
22874,Healthcare,26,2008,Steel,19923.51227680127,871.0112912827345
25063,Education,36,2018,Mixed,13459.80574697468,537.0388918714712
24150,Residential,24,2001,Steel,16127.929367587483,667.8231622189434
41483,Residential,20,1998,Timber,12408.629794323924,299.12566097736243
25058,Office,34,1988,Concrete,15455.91037169532,616.8054262788459
16048,Office,17,1980,Steel,10608.137943118858,661.0255448104971
46080,Healthcare,39,2014,Timber,18984.90843496425,411.9988809671062
42131,Healthcare,30,2017,Concrete,27926.343736315932,662.8454994259793
5090,Office,17,1989,Steel,3197.2465118132113,628.1427331656604
21491,Education,16,2003,Timber,5847.1787417590485,272.07569409329716
12344,Office,23,2016,Concrete,7165.780488164122,580.5071685162121
16896,Healthcare,18,2004,Mixed,8423.66497938071,498.55971705615
26064,Residential,26,2011,Concrete,15383.97876115306,590.2385958085121
13182,Office,26,2000,Concrete,8280.888141701445,628.1966425202129
38198,Residential,7,1988,Timber,8909.646692452689,233.24903640119084
42786,Residential,23,2008,Concrete,25358.93248841351,592.692293937585
26510,Healthcare,35,1997,Timber,12036.165593521377,454.0235983976377
25077,Office,31,2003,Timber,8502.742333599752,339.0653719982355
14409,Office,3,2016,Timber,2719.772575764429,188.7551235869546
24510,Education,39,1994,Mixed,13463.45454179703,549.3045508689119
16317,Office,25,1992,Concrete,9420.119550622498,577.3193326360542
14737,Office,2,2014,Concrete,7443.826713994035,505.11140082744356
30430,Education,13,1992,Concrete,17047.61549677199,560.2239729468283
31586,Education,39,2008,Concrete,18696.451449625787,591.9220999691568
9436,Residential,16,1989,Concrete,4918.829019792282,521.2832789097374
13676,Education,1,2009,Steel,6998.86568080153,511.76262655758484
25951,Residential,30,1983,Concrete,14741.022569699546,568.0329301259892
26280,Office,15,1988,Timber,6546.365318655178,249.10065900514377
10155,Healthcare,12,2016,Steel,7075.141436275204,696.7150601945056
38573,Healthcare,39,2003,Timber,18759.406012726657,486.3351570457744
49280,Residential,7,1983,Timber,10386.644584195066,210.76795016629598
16934,Office,10,2022,Concrete,8270.719041499282,488.40906114912497
28376,Office,3,1985,Steel,14614.66784828841,515.0362224516638
1726,Education,9,2014,Mixed,749.252661249132,434.09771798906837
43874,Office,35,1997,Concrete,30143.279478468026,687.0419719758405
29831,Education,35,2017,Steel,20432.849473827184,684.9535541492804
38443,Education,14,2016,Concrete,19820.170462010323,515.5729381684656
24874,Healthcare,28,2008,Steel,18718.898241316983,752.548775481104
26931,Residential,9,1994,Mixed,11555.97278428358,429.09556957720025
16585,Education,24,1994,Concrete,8999.218881417812,542.6119313486772
6295,Office,26,1997,Concrete,3988.5507068261672,633.6061488206778
4020,Healthcare,28,1984,Steel,3562.3626571652344,886.1598649664762
10516,Healthcare,32,2008,Timber,4569.13855507378,434.4939668194922
12303,Healthcare,34,2019,Timber,5543.94589613939,450.6174019458173
21695,Office,19,1995,Mixed,9162.458296382876,422.33041237072484
19088,Education,13,2022,Steel,12202.748237022226,639.288989785322
21670,Residential,27,2017,Mixed,9792.341345274988,451.8846952134282
10017,Education,31,2002,Concrete,5610.454124960262,560.0932539642869
12700,Education,30,2018,Timber,3772.838877442628,297.07392735768724
49845,Residential,13,2008,Mixed,18643.526713385225,374.0300273524972
31220,Healthcare,27,2020,Steel,23691.132472306937,758.8447300546744
13987,Residential,24,2014,Mixed,6057.1567903556315,433.0561800497341
45486,Residential,10,2020,Mixed,19432.061333894973,427.2097202192976
34339,Healthcare,15,2009,Steel,23706.837232420796,690.376459198602
8059,Healthcare,32,2015,Concrete,6426.926866965426,797.484410840728
15859,Healthcare,22,1996,Concrete,10600.922075075414,668.4483306056759
21953,Residential,18,1993,Mixed,9999.429017777835,455.49259863243446
12939,Healthcare,35,1991,Timber,5033.159045531597,388.99134751770595
8813,Office,15,2011,Timber,2136.0768401611895,242.3779462341075
45569,Education,34,2013,Steel,35725.17201716064,783.9797234339276
7540,Education,39,1994,Timber,3011.808193059841,399.4440574349922
24411,Education,32,1981,Timber,8599.359455480317,352.2739525410805
12722,Residential,27,1982,Steel,9521.951648593955,748.4634215212981
33347,Healthcare,29,2000,Timber,12796.53545332776,383.7387307202375
49901,Education,19,1984,Timber,13206.666895273365,264.6573594772322
45923,Residential,38,1994,Concrete,27704.308137336815,603.2774021152106
20440,Healthcare,25,2003,Mixed,11797.018207225896,577.1535326431456
19639,Healthcare,27,1987,Mixed,10711.015744176815,545.3951700278433
37444,Office,8,1994,Timber,8805.722780518787,235.1704620371431
40110,Healthcare,3,2008,Mixed,16844.96118118669,419.9691144648887
45859,Healthcare,3,1999,Concrete,25395.34107374602,553.7700576494477
12536,Residential,20,2015,Steel,7660.351136609005,611.0682144710438
6109,Office,2,2003,Mixed,2115.828086908616,346.34606104249735
37935,Office,21,1997,Concrete,20601.23847991392,543.066784761142
42125,Residential,32,1990,Steel,31446.41427403344,746.5024160007938
21581,Healthcare,8,1990,Concrete,13321.981702413108,617.3014087583109
44408,Office,12,2011,Timber,10655.550005686457,239.9466313656651
31811,Residential,20,2012,Concrete,18461.14868953407,580.3385209372252
7368,Residential,33,2020,Steel,4828.240972091255,655.2987204249803
48219,Office,26,2001,Timber,13849.865098540542,287.2283767506697
33857,Education,15,2013,Concrete,16592.83056769226,490.0856711372023
7090,Office,3,1985,Steel,4355.330165323057,614.2919838255369
27015,Education,12,1987,Mixed,11550.40179466772,427.5551284348591
26683,Residential,7,1990,Mixed,10381.851307482364,389.0811118495808
28961,Residential,22,2005,Timber,8639.86291057402,298.32750632139846
30545,Office,14,1990,Concrete,14486.779258171146,474.27661673501865
45555,Education,13,2004,Steel,28664.858220578204,629.236268698896
21022,Education,36,1987,Steel,16235.206134503786,772.295982042802
27911,Education,18,1985,Concrete,15533.934206032782,556.5524060776318
49479,Office,3,2007,Concrete,22562.587606495283,456.00330658451634
40004,Office,15,2012,Timber,10124.763206831381,253.09377079370515
47804,Residential,31,2003,Mixed,24762.72281032122,518.0052466388005
26963,Healthcare,20,2003,Concrete,19101.887670353346,708.4481574881632
7563,Healthcare,34,2015,Concrete,5736.84759861568,758.5412665100727
46350,Healthcare,12,1982,Steel,33696.21801582888,726.9949949477644
20342,Office,33,2014,Concrete,13050.338306082254,641.5464706558969
13765,Healthcare,23,2021,Mixed,7485.543382385075,543.8099079102851
34142,Residential,37,1984,Concrete,21646.6865230058,634.0192877689004
31523,Residential,14,2018,Steel,20179.92251169423,640.1650385970318
46893,Education,17,2004,Steel,29175.832117130365,622.1788351594132
44006,Education,1,2019,Mixed,14468.822068263591,328.7920299110028
37142,Office,31,1990,Concrete,20554.12675890909,553.3931064269315
11831,Residential,10,2008,Concrete,6115.90578396657,516.9390401459361
43240,Office,5,1999,Mixed,16594.901191556874,383.7858739953023
44320,Office,20,2007,Steel,29416.06864908676,663.7199604938348
7116,Education,12,2016,Steel,4639.552263613507,651.9887947742421
15135,Healthcare,28,1994,Concrete,10085.163590689159,666.3471153412064
35707,Office,14,1981,Steel,22276.348321705278,623.8650214721281
1281,Healthcare,29,1980,Timber,472.0826922007563,368.5266918038691
29404,Office,5,2012,Steel,17193.610586718598,584.7371305508977
42235,Healthcare,24,2022,Concrete,31499.194639605554,745.8078522458992
16398,Residential,31,2022,Concrete,9608.58965968302,585.9610720626308
13115,Residential,23,1995,Concrete,6968.12330677895,531.3094400898932
11225,Education,21,1980,Timber,3309.560150293392,294.83832073883224
14669,Healthcare,5,2001,Timber,3747.595000585716,255.47719684952733
39006,Education,26,2022,Concrete,20440.38653378961,524.0318549399992
16504,Residential,26,1987,Timber,5188.491282028689,314.37780429160745
43823,Healthcare,25,1983,Steel,36210.8899412466,826.2987458924903
48055,Education,14,1984,Steel,27449.858680859863,571.2175357581909
5033,Healthcare,6,1988,Steel,3437.748313071495,683.0415881326237
7924,Healthcare,9,1992,Timber,2241.5114628418055,282.87625729957165
49508,Healthcare,38,1983,Concrete,37551.9800104189,758.5032724088813
8761,Residential,13,2020,Timber,2118.7916256327294,241.84358242583374
4712,Education,24,1986,Steel,3048.6785343364636,647.0030845366009
28723,Office,7,1994,Steel,16401.094534267402,571.0091053952374
39360,Office,33,2011,Steel,27829.566001421084,707.0519817434218
45298,Residential,35,1987,Concrete,29118.550780171227,642.8219961183987
36757,Residential,9,1982,Steel,23459.66653992008,638.2367042990472
44461,Healthcare,28,2008,Concrete,29016.263964993606,652.6228372054971
17353,Office,37,1994,Mixed,9240.58383388765,532.5064158294041
26519,Education,23,1985,Concrete,15636.872862004897,589.6479076135939
40338,Education,21,2002,Timber,10364.086061299493,256.9310838737541
28764,Education,15,2004,Mixed,13268.773839954285,461.29793630768614
46379,Education,21,1992,Concrete,24167.910172282227,521.0959738735684
7012,Residential,4,2006,Steel,4239.0692058987015,604.5449523529237
43641,Education,2,1992,Mixed,16726.221879451936,383.26852912288757
35054,Residential,31,1989,Timber,11802.189175821366,336.6859467056931
24486,Education,36,1999,Mixed,11905.733020019668,486.2261300342918
43368,Residential,13,2001,Concrete,22402.306029064428,516.5630425443744
29552,Healthcare,26,1988,Timber,11237.354437579823,380.2569855705138
39520,Residential,8,2003,Mixed,15587.387129313405,394.4176905190639
35084,Education,4,2003,Timber,7509.623910710345,214.04697043411085
37041,Education,25,1997,Timber,11577.36526796604,312.55541880527096
43422,Office,5,2014,Mixed,17464.753102581155,402.20978081574214
15996,Education,17,2001,Mixed,6697.00765559838,418.6676453862453
34755,Education,7,2011,Timber,7071.729316996961,203.47372513298694
40420,Residential,25,1981,Mixed,17803.465005842598,440.4617764928896
29482,Office,39,2020,Steel,19837.1801766875,672.8573426730718
30371,Healthcare,19,1983,Concrete,19216.014422558066,632.709308964409
26766,Healthcare,36,2019,Steel,25295.53594906072,945.0622412411536
17456,Education,8,2012,Timber,3720.164432498126,213.116660890131
7704,Education,2,1984,Mixed,2625.7332872907346,340.8272698975512
35503,Office,3,1982,Concrete,17068.503469447325,480.7622868334317
20201,Education,38,1996,Timber,7819.163450843383,387.0681377577042
33007,Residential,22,2015,Steel,20369.939596828703,617.1399883912111
4374,Education,16,2021,Concrete,2282.375271291463,521.8050460199961
4083,Education,17,1995,Mixed,1947.050266130958,476.8675645679545
35447,Education,30,2002,Mixed,19404.271359097722,547.4164628628015
27116,Residential,20,2019,Mixed,12299.71297902189,453.5961417252504
17669,Office,21,1999,Concrete,9329.801764715314,528.0322465739608
27342,Healthcare,32,2012,Steel,24814.558131340535,907.5619241950309
10715,Residential,34,1993,Mixed,5352.414114731237,499.52534901831416
19792,Residential,21,1981,Timber,5346.336838686351,270.12615393524413
39067,Office,23,2005,Mixed,19522.5733328116,499.72030954031794
18826,Residential,22,2022,Timber,5996.931273649694,318.54516485975216
25819,Office,12,2021,Concrete,14003.705870400476,542.3798702661015
12421,Education,24,2021,Concrete,7393.50231880508,595.2421156754754
29495,Education,7,1993,Steel,16642.13413666986,564.2357734080306
7721,Education,27,1981,Timber,2357.2543672816896,305.30428277188054
49895,Healthcare,10,2004,Concrete,27736.778225574544,555.9029607290219
30984,Residential,36,2010,Concrete,18111.354860938445,584.5389511018088
38685,Healthcare,3,2014,Steel,27934.331112821106,722.0972240615512
49244,Office,34,1987,Steel,32093.14774259816,651.7169146007262
32822,Office,4,1991,Mixed,11226.12815158119,342.03059385720525
12916,Healthcare,31,1993,Mixed,7732.406436010379,598.6688166623087
36262,Healthcare,6,2011,Steel,22803.799033025676,628.8621430981655
38947,Residential,23,1998,Timber,10481.402151697674,269.1196279995294
43913,Education,10,2004,Concrete,21888.88094907594,498.4601587018865
47332,Residential,31,1994,Steel,32904.14341930517,695.1775420287579
30794,Office,21,1988,Mixed,13459.996995371886,437.0980384286512
7406,Education,16,1995,Mixed,3259.7690001802976,440.152443988698
35406,Healthcare,17,2016,Timber,10630.405331088106,300.2430472543667
42779,Office,36,2017,Timber,16091.357546541449,376.1508578167196
33371,Office,35,1986,Timber,11643.249101986641,348.90321242955383
32174,Residential,37,2001,Steel,21335.274225553912,663.1215958710111
25282,Residential,21,2017,Timber,7323.751678081944,289.68244909745846
41761,Education,39,1984,Steel,30013.695798792814,718.7015588418096
25817,Residential,21,1997,Steel,18464.435619663134,715.2045404060555
42424,Healthcare,35,1990,Timber,18070.21613000933,425.94324274017833
30300,Healthcare,26,1983,Concrete,20349.325137399817,671.5948890230964
34361,Healthcare,35,2020,Steel,29263.16329698243,851.6388724711862
44404,Residential,17,1988,Steel,29257.48955311149,658.8931076729909
4631,Healthcare,29,2012,Concrete,3591.1068047116696,775.4495367548412
26364,Healthcare,28,1990,Timber,10446.428682626554,396.2383812254041
24253,Education,8,1994,Steel,13069.091408886774,538.8649407861615
32186,Healthcare,5,2011,Mixed,14519.103726894908,451.09997287314076
42991,Office,13,1987,Steel,27741.382633387413,645.2834926702661
8788,Office,24,2014,Mixed,3746.70809727379,426.34366150134156
23804,Healthcare,31,2015,Timber,10470.14885218837,439.8482965967219
39278,Education,28,2022,Concrete,21312.66255087425,542.6106866661809
11759,Residential,10,2017,Timber,2478.5608053413443,210.77989670391565
24888,Healthcare,31,1987,Mixed,14261.184901042925,573.0145010062249
